0, 0, 0, 0, -a2bar*a4bar, 2*a3bar*a5bar, -2*a3bar*a5bar, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, -a3bar*a5bar, a3bar*a5bar, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, a2bar*a4bar, a3bar*a5bar, -a3bar*a5bar, 0, 0, 0, 0, 0, 0, 0
a2bar*a4bar, -a2bar*a4bar, 0, 2*a2bar*a3bar*a5bar, 0, 0, 0, 0, 0, -2*a3bar*a4bar*a5bar, 0, 0, -a2bar*a4bar, a2bar*a4bar
0, 0, 0, -a2bar*a3bar*a5bar, 0, 0, 0, 0, 0, a3bar*a4bar*a5bar, 0, 0, 0, 0
-a2bar*a4bar, a2bar*a4bar, 0, a2bar*a3bar*a5bar, 0, 0, 0, 0, 0, -a3bar*a4bar*a5bar, 0, 0, a2bar*a4bar, -a2bar*a4bar
0, 0, 0, 0, -a2bar*a3bar*a4bar, 2*a3bar*a5bar, -2*a3bar*a5bar, 0, a2bar*a4bar*a5bar, 0, -2*a3bar*a5bar, 2*a3bar*a5bar, 0, 0
0, 0, 0, 0, 0, -a3bar*a5bar, a3bar*a5bar, 0, 0, 0, a3bar*a5bar, -a3bar*a5bar, 0, 0
0, 0, 0, 0, a2bar*a3bar*a4bar, a3bar*a5bar, -a3bar*a5bar, 0, -a2bar*a4bar*a5bar, 0, -a3bar*a5bar, a3bar*a5bar, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, -2*a3bar*a5bar, 0, 0, -a2bar*a4bar, a2bar*a4bar
0, 0, 0, 0, 0, 0, 0, 0, 0, a3bar*a5bar, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, -a3bar*a5bar, 0, 0, a2bar*a4bar, -a2bar*a4bar
-a2bar*a4bar, a2bar*a4bar, 0, -2*a3bar*a5bar, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, a3bar*a5bar, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
a2bar*a4bar, -a2bar*a4bar, 0, -a3bar*a5bar, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
a2bar*a4bar, 0, a2bar*a4bar, 0, 0, 0, -a3bar*a5bar, -a3bar*a5bar, 0, 0, 0, a3bar*a5bar, -a2bar*a4bar, 0
-a2bar*a4bar, a2bar*a4bar, 0, 0, 0, 0, 0, a3bar*a5bar, 0, 0, 0, 0, a2bar*a4bar, -a2bar*a4bar
a2bar*a4bar, 0, 0, 0, 0, -a3bar*a5bar, 0, -a3bar*a5bar, 0, 0, a3bar*a5bar, 0, -a2bar*a4bar, 0
0, 0, 0, 0, 0, 0, -a3bar*a5bar, -a3bar*a5bar, 0, 0, 0, a3bar*a5bar, 0, 0
0, a2bar*a4bar, a2bar*a4bar, 0, a2bar*a3bar*a4bar, 0, 0, a3bar*a5bar, -a2bar*a4bar*a5bar, 0, 0, 0, 0, -a2bar*a4bar
0, a2bar*a4bar, a2bar*a4bar, 0, a2bar*a3bar*a4bar, -a3bar*a5bar, 0, -a3bar*a5bar, -a2bar*a4bar*a5bar, 0, a3bar*a5bar, 0, 0, -a2bar*a4bar
0, 0, 0, 0, 0, 0, 0, 0, -a2bar*a4bar, 0, 2*a3bar*a5bar, -2*a3bar*a5bar, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -a3bar*a5bar, a3bar*a5bar, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, a2bar*a4bar, 0, a3bar*a5bar, -a3bar*a5bar, 0, 0
a2bar*a4bar, 0, a2bar*a4bar, 0, 0, 0, 0, 0, 0, 0, 0, 0, -a2bar*a4bar, 0
-a2bar*a4bar, a2bar*a4bar, 0, -a2bar*a3bar*a5bar, 0, -a3bar*a5bar, 0, -a3bar*a5bar, 0, a3bar*a4bar*a5bar, a3bar*a5bar, 0, a2bar*a4bar, -a2bar*a4bar
a2bar*a4bar, 0, 0, -a2bar*a3bar*a5bar, 0, -a3bar*a5bar, 0, -a3bar*a5bar, 0, a3bar*a4bar*a5bar, a3bar*a5bar, 0, -a2bar*a4bar, 0
