0, 0, 0, a1bar*a3bar, 0, 2*a2bar*a4bar, 0, 0, 0, 0
0, 0, 0, -2*a1bar*a3bar, 0, -a2bar*a4bar, 0, 0, 0, 0
0, -a1bar*a3bar, -2*a1bar*a2bar*a4bar, 0, 0, 0, 0, 2*a2bar*a3bar*a4bar, 0, a1bar*a3bar
0, 2*a1bar*a3bar, a1bar*a2bar*a4bar, 0, 0, 0, 0, -a2bar*a3bar*a4bar, 0, -2*a1bar*a3bar
0, 0, 0, a1bar*a2bar*a3bar, 0, 2*a2bar*a4bar, -a1bar*a3bar*a4bar, 0, -2*a2bar*a4bar, 0
0, 0, 0, -2*a1bar*a2bar*a3bar, 0, -a2bar*a4bar, 2*a1bar*a3bar*a4bar, 0, a2bar*a4bar, 0
0, 0, 0, 0, 0, 0, 0, 2*a2bar*a4bar, 0, a1bar*a3bar
0, 0, 0, 0, 0, 0, 0, -a2bar*a4bar, 0, -2*a1bar*a3bar
0, a1bar*a3bar, 2*a2bar*a4bar, 0, 0, 0, 0, 0, 0, 0
0, -2*a1bar*a3bar, -a2bar*a4bar, 0, 0, 0, 0, 0, 0, 0
-a1bar*a3bar, -a1bar*a3bar, 0, 0, -a2bar*a4bar, -a2bar*a4bar, 0, 0, a2bar*a4bar, a1bar*a3bar
0, a1bar*a3bar, 0, 0, 0, a2bar*a4bar, 0, 0, -a2bar*a4bar, -a1bar*a3bar
2*a1bar*a3bar, 0, 0, -2*a1bar*a2bar*a3bar, -a2bar*a4bar, -a2bar*a4bar, 2*a1bar*a3bar*a4bar, 0, a2bar*a4bar, 0
-a1bar*a3bar, 0, 0, a1bar*a2bar*a3bar, 0, a2bar*a4bar, -a1bar*a3bar*a4bar, 0, -a2bar*a4bar, 0
0, 0, 0, 0, 0, 0, a1bar*a3bar, 0, 2*a2bar*a4bar, 0
0, 0, 0, 0, 0, 0, -2*a1bar*a3bar, 0, -a2bar*a4bar, 0
-a1bar*a3bar, -a1bar*a3bar, -2*a1bar*a2bar*a4bar, 0, 2*a2bar*a4bar, 0, 0, 2*a2bar*a3bar*a4bar, 0, a1bar*a3bar
0, a1bar*a3bar, a1bar*a2bar*a4bar, 0, -a2bar*a4bar, 0, 0, -a2bar*a3bar*a4bar, 0, -a1bar*a3bar
